species,price_per_lb_usd,avg_seeds_per_lb
Coast Redwood,832.00,95364
Giant Sequoia,660.00,79203
Douglas-Fir,497.00,30455
Big Cone Douglas-Fir,300.00,4240
White Fir,223.00,10651
Red Fir,205.00,5113
Incense Cedar,420.00,15137
Bishop Pine,257.00,45004
Coulter Pine,257.00,1365
Gray/Foothill Pine,257.00,649
Jeffrey Pine,230.00,3585
Ponderosa Pine,230.00,9240
NSTIA Ponderosa Pine,230.00,7677
Non-BRR Sugar Pine,334.00,1794
Western White Pine,268.00,13717
Monterey Pine (New Zealand),376.00,15622
Monterey Pine (Native),257.00,15622
Knobcone x Monterey Pine,376.00,16020
